,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
111,ObserwatorXY,"WHO ogłosiło stan globalnego zagrożenia zdrowia publicznego z powodu rozprzestrzeniania się #koronawirus.a poza granicami Chin, opisując rozprzestrzenianie się wirusa jako ""bezprecedensowe"". Trochę jakby nieswojo - znając 'ogarnięcie' min. Szumowskiego 😐 ",2020-01-30 20:51:11+00:00,9,21,,#koronawirus
112,oopsmyjeongguk,moj ziomo swirus zmutowal sie w koronawirus,2020-01-30 20:50:14+00:00,0,4,,
113,cypr24eu,Za opóźnienia przesyłek odpowiada koronawirus https://cypr24.eu/opoznione-przesylki-z-chin/,2020-01-30 20:47:32+00:00,0,0,,
114,miemka,"Jest już na FB-mamuśka pisze,że za ospa party płaciła 40 zł,a koronawirus to gruba sprawa więc póki co szuka zarażonych.",2020-01-30 20:46:15+00:00,0,4,,
115,PiotrWielicki,Czy grozi nam #koronawirus http://radioemaus.pl/aktualnosci/andrzej-trybusz-wojewodzka-stacja-sanitarno-epidemiologicznej-w-poznaniu/,2020-01-30 20:45:24+00:00,0,0,,#koronawirus
116,Luiza93902397,Zagraniczne linie lotnicze wstrzymały loty do Chin. A my czekamy aż koronawirus sami sobie przywieziemy. Ciekawe co zrobią z pasażerami tego samolotu.,2020-01-30 20:44:23+00:00,0,4,,
117,Opolska,"A tymczasem pierwszą ofiarą koronawirusa w Polsce jest dr (sic!) Zięba, któremu YouTube (nareszcie!!) zamknął kanał. Znany szarlatan instruował bowiem, jak wyleczyć wirusa (lewoskrętną witaminą C i dożylnym podaniem 35% nadtlenku wodoru). Czekam na propozycje koronawirus-party 😉",2020-01-30 20:43:15+00:00,84,1167,,
118,Tysol,Pilne! Koronawirus z Wuhan. WHO ogłasza stan światowego zagrożenia | http://Tysol.pl,2020-01-30 20:40:02+00:00,9,9,,
119,wzburzonypulpet,Wychowawczyni z bursy weszła nam do pokoju zapytała: wiecie co to koronawirus? Powiedzialysmy że tak i wyszła Like what the hell was that,2020-01-30 20:37:59+00:00,0,3,,
120,joannamilosz,Co na to Dr Zieba? #lekarstwo na #koronavirus #domowesposoby #leczsiesam,2020-01-30 20:37:07+00:00,0,0,,#lekarstwo #koronavirus #domowesposoby #leczsiesam
